Drug,Cell,labels
681644,HOP_62,1.0
352122,TK_10,0.0
603071,UO_31,1.0
89201,NCI_H460,0.0
26271,UACC_257,1.0
182986,SW_620,0.0
295499,SK_MEL_28,0.0
681638,OVCAR_8,1.0
363812,786_0,1.0
241240,MDA_MB_435,0.0
756717,MDA_MB_435,0.0
126771,HOP_92,0.0
182986,PC_3,1.0
182986,OVCAR_4,0.0
681640,UACC_257,0.0
757098,NCI_ADR_RES,0.0
734294,IGROV1,1.0
409962,UO_31,0.0
368390,A498,0.0
32065,NCI_H226,0.0
374551,NCI_H522,1.0
338947,786_0,1.0
351710,LOXIMVI,0.0
603077,T47D,0.0
683555,UO_31,1.0
759155,SF_539,1.0
132483,HOP_92,0.0
757804,EKVX,0.0
627168,NCI_ADR_RES,0.0
638066,MDA_MB_435,0.0
352122,OVCAR_4,0.0
45388,SK_MEL_5,0.0
409962,SK_OV_3,0.0
757098,MDA_MB_231,0.0
295501,NCI_H460,1.0
176323,OVCAR_8,1.0
757087,UACC_257,0.0
728073,SR,0.0
308847,SR,1.0
740645,A498,0.0
736624,HCT_15,0.0
721517,HS578T,1.0
366140,HL_60,0.0
681636,T47D,1.0
603076,SW_620,0.0
1895,SF_539,1.0
6396,MDA_N,0.0
338947,MALME_3M,0.0
638066,HS578T,1.0
719627,786_0,0.0
758255,ACHN,1.0
107392,MDA_MB_435,0.0
681637,MOLT_4,1.0
95382,HOP_92,0.0
697912,786_0,1.0
721517,HCC_2998,0.0
755985,SW_620,0.0
279836,HCC_2998,0.0
139105,HCC_2998,1.0
24559,A549,1.0
218321,OVCAR_8,0.0
71261,M14,1.0
132313,NCI_H23,1.0
95382,MDA_MB_435,0.0
295501,786_0,1.0
27640,PC_3,1.0
56410,CCRF_CEM,1.0
637037,K_562,0.0
26980,HOP_92,0.0
85998,UACC_62,1.0
295499,MCF7,1.0
719276,OVCAR_3,0.0
681633,SF_295,1.0
759263,NCI_H460,1.0
89201,SN12C,0.0
755880,SNB_19,1.0
752,OVCAR_8,1.0
1895,CCRF_CEM,1.0
266046,SN12C,1.0
681641,MOLT_4,1.0
63984,MDA_N,0.0
105014,SF_295,0.0
725776,MCF7,1.0
603077,786_0,1.0
756717,MOLT_4,1.0
326231,KM12,0.0
681632,RXF_393,1.0
178248,HL_60,1.0
224131,MOLT_4,1.0
25154,SF_268,1.0
139105,MDA_MB_231,0.0
25154,SNB_19,0.0
606498,COLO205,0.0
134033,MOLT_4,1.0
8806,NCI_H322M,0.0
759614,HS578T,0.0
755841,MCF7,1.0
163501,ACHN,0.0
681645,NCI_H522,1.0
760419,BT_549,1.0
719627,MCF7,0.0
755880,OVCAR_4,0.0
281612,IGROV1,0.0
603071,MDA_N,0.0
337766,CAKI_1,0.0
682298,KM12,0.0
708298,TK_10,0.0
246131,SK_MEL_5,1.0
767125,SNB_19,1.0
526598,LOXIMVI,1.0
724998,TK_10,0.0
616348,MDA_N,0.0
276382,OVCAR_5,0.0
71795,BT_549,0.0
138783,BT_549,1.0
752840,UACC_257,0.0
681640,T47D,1.0
1390,SF_295,1.0
639174,A498,0.0
100880,KM12,0.0
268242,NCI_H322M,0.0
768112,SNB_19,1.0
135758,NCI_ADR_RES,0.0
264137,TK_10,0.0
134679,NCI_H522,1.0
603074,T47D,0.0
51143,NCI_H23,0.0
606498,SF_295,1.0
656889,M14,0.0
267469,LOXIMVI,1.0
740268,UO_31,1.0
606985,A498,0.0
337766,SF_539,1.0
754365,K_562,1.0
369395,EKVX,0.0
6396,SW_620,0.0
301739,HOP_62,1.0
759878,A498,0.0
374551,SF_268,0.0
218321,HCT_116,0.0
281612,SNB_75,0.0
153353,RPMI_8226,0.0
249910,IGROV1,0.0
721517,786_0,1.0
698037,786_0,1.0
338947,COLO205,0.0
765775,SW_620,1.0
82151,IGROV1,0.0
754365,T47D,0.0
719627,SW_620,1.0
34462,SR,1.0
85998,MDA_N,0.0
755985,NCI_ADR_RES,0.0
167780,KM12,0.0
752840,OVCAR_4,0.0
682298,OVCAR_4,0.0
606869,RXF_393,0.0
681637,SK_MEL_28,0.0
126771,SR,1.0
783107,SR,1.0
246131,NCI_H226,1.0
24559,SNB_19,1.0
172112,HS578T,0.0
132483,TK_10,0.0
95382,HCT_15,0.0
710270,M14,1.0
107392,A549,0.0
25154,NCI_H460,1.0
351710,HOP_62,1.0
767125,RXF_393,0.0
241240,EKVX,0.0
14229,SNB_19,0.0
683557,SW_620,1.0
634724,NCI_H322M,0.0
736493,TK_10,0.0
344007,SF_539,1.0
365798,NCI_H322M,0.0
526598,HOP_62,1.0
301739,SN12C,1.0
246131,COLO205,0.0
789797,UACC_62,0.0
736493,ACHN,1.0
721517,OVCAR_5,0.0
706744,HOP_92,0.0
268242,SK_MEL_2,0.0
758423,MDA_MB_435,0.0
603077,HOP_62,1.0
368390,COLO205,1.0
762,OVCAR_4,0.0
127716,HCC_2998,0.0
759614,MDA_MB_435,1.0
758255,HOP_92,1.0
789797,UACC_257,0.0
756717,T47D,1.0
343499,A498,1.0
756660,SR,1.0
606986,UACC_257,0.0
629971,MDA_N,0.0
728073,U251,1.0
754771,RXF_393,1.0
295500,HCC_2998,0.0
791785,CAKI_1,0.0
6396,CAKI_1,1.0
264137,COLO205,0.0
348948,OVCAR_3,1.0
754366,CCRF_CEM,0.0
719627,A549,1.0
303812,UACC_62,1.0
224131,NCI_H23,0.0
606172,EKVX,0.0
329680,SNB_19,0.0
1390,U251,0.0
737518,MDA_MB_435,0.0
107124,OVCAR_5,0.0
758251,NCI_H23,0.0
145668,OVCAR_5,0.0
109724,NCI_H522,1.0
351710,SK_MEL_2,0.0
141540,NCI_H23,1.0
95382,NCI_H322M,0.0
153353,OVCAR_8,0.0
365798,SW_620,0.0
627505,A498,0.0
754771,SF_539,1.0
683558,SN12C,1.0
634724,SR,1.0
683556,SF_268,1.0
681645,SK_OV_3,1.0
681634,SNB_75,1.0
627505,DU_145,0.0
85998,SW_620,0.0
111533,OVCAR_5,0.0
783107,EKVX,1.0
266046,IGROV1,0.0
681636,SW_620,0.0
118218,SK_MEL_2,0.0
610457,K_562,0.0
1390,CAKI_1,1.0
759155,MDA_MB_231,0.0
348948,SN12C,0.0
681632,UACC_257,0.0
709237,HOP_92,0.0
610457,EKVX,0.0
26980,T47D,0.0
296934,SK_MEL_28,0.0
249992,A549,1.0
148958,CCRF_CEM,0.0
708298,RPMI_8226,1.0
264137,NCI_H322M,1.0
1895,HCT_15,0.0
295501,SK_MEL_2,0.0
83142,T47D,1.0
178248,SW_620,0.0
759857,NCI_H23,1.0
754771,BT_549,1.0
343499,OVCAR_3,0.0
38721,MCF7,0.0
765396,A498,1.0
627168,SK_MEL_28,0.0
606498,K_562,0.0
343499,NCI_ADR_RES,0.0
353451,BT_549,0.0
758667,786_0,1.0
753686,NCI_H322M,0.0
281612,ACHN,1.0
710270,RXF_393,1.0
312887,SF_295,0.0
681639,KM12,0.0
63878,UO_31,1.0
296934,EKVX,0.0
349174,SF_295,1.0
343499,NCI_H460,1.0
724998,SK_MEL_2,0.0
56410,HS578T,0.0
633782,UACC_257,0.0
354258,CAKI_1,1.0
328410,SK_OV_3,1.0
224131,T47D,0.0
697887,SN12C,0.0
85998,NCI_H322M,0.0
756660,SK_MEL_5,1.0
643833,MOLT_4,1.0
681635,SF_268,1.0
77213,HOP_92,1.0
111533,MDA_MB_435,0.0
757098,U251,1.0
153353,MOLT_4,0.0
132313,MCF7,1.0
613327,SN12C,1.0
752,MDA_N,1.0
38721,RXF_393,0.0
167780,DU_145,0.0
681632,KM12,0.0
374028,SNB_19,1.0
740645,UACC_257,0.0
610458,DU_145,1.0
610459,RXF_393,0.0
287459,NCI_H226,1.0
683555,NCI_H23,1.0
184692,OVCAR_5,0.0
89201,SF_295,1.0
126771,UO_31,0.0
357704,SK_MEL_5,1.0
85998,U251,0.0
357704,NCI_H522,0.0
357704,BT_549,1.0
709237,KM12,0.0
606498,DU_145,0.0
51143,SN12C,0.0
702294,TK_10,1.0
344007,SW_620,0.0
681643,NCI_H522,1.0
111533,SK_MEL_28,0.0
681644,BT_549,0.0
102627,EKVX,0.0
740645,KM12,0.0
295499,HCT_15,0.0
694501,SK_MEL_5,1.0
758230,HL_60,0.0
95382,SN12C,1.0
736201,U251,1.0
111533,IGROV1,0.0
124463,NCI_H23,1.0
100880,HCT_116,1.0
312887,CAKI_1,1.0
163501,RPMI_8226,0.0
709237,RXF_393,1.0
301739,BT_549,0.0
267469,ACHN,1.0
308847,KM12,0.0
758671,OVCAR_4,0.0
125066,NCI_H460,1.0
606985,NCI_H322M,0.0
702294,SF_295,1.0
616348,TK_10,0.0
629971,OVCAR_8,1.0
681636,HCT_15,0.0
143020,MDA_MB_231,1.0
758251,SR,0.0
681642,SF_539,1.0
71795,786_0,0.0
758671,A498,0.0
638066,MOLT_4,1.0
681635,TK_10,0.0
82151,HL_60,1.0
681639,OVCAR_8,1.0
26980,HCT_116,0.0
352122,U251,1.0
95466,NCI_H460,1.0
681641,SR,1.0
639186,CAKI_1,0.0
1390,ACHN,1.0
789797,PC_3,0.0
224131,ACHN,0.0
719276,CAKI_1,0.0
754230,HS578T,0.0
182986,SK_OV_3,0.0
26980,HCT_15,0.0
85998,IGROV1,0.0
735037,IGROV1,1.0
143020,T47D,1.0
26980,NCI_ADR_RES,0.0
249910,SNB_75,1.0
681644,OVCAR_4,0.0
344007,SNB_19,0.0
634724,U251,1.0
603076,T47D,0.0
295499,IGROV1,0.0
51143,CCRF_CEM,1.0
118994,TK_10,0.0
526598,OVCAR_8,1.0
353451,MDA_MB_435,0.0
107392,NCI_H522,1.0
95678,SK_MEL_5,1.0
182986,M14,1.0
178248,CCRF_CEM,1.0
754230,KM12,1.0
141540,NCI_H522,1.0
132313,SF_295,1.0
348948,RXF_393,1.0
218321,786_0,0.0
606497,EKVX,0.0
38721,HT29,0.0
753686,MALME_3M,0.0
681645,HOP_62,1.0
682298,SF_295,1.0
366140,OVCAR_3,0.0
349174,SNB_19,1.0
772992,HCT_116,0.0
301739,MDA_N,0.0
268242,NCI_H522,0.0
606172,NCI_H23,1.0
656889,SK_MEL_5,0.0
616348,SF_539,1.0
143020,HOP_92,1.0
148958,SK_MEL_5,1.0
755,HL_60,1.0
736493,T47D,1.0
102627,A549,1.0
320846,SW_620,1.0
681639,HCT_15,0.0
176323,SK_MEL_28,0.0
24559,KM12,1.0
295499,NCI_ADR_RES,0.0
639186,MDA_MB_231,0.0
374028,K_562,0.0
118994,BT_549,0.0
111533,ACHN,1.0
366140,KM12,0.0
721517,HL_60,0.0
85998,BT_549,0.0
269148,RXF_393,0.0
141549,MDA_MB_435,0.0
681632,CAKI_1,1.0
224131,OVCAR_5,0.0
681640,BT_549,0.0
368390,NCI_H522,0.0
143095,SN12C,1.0
719627,SF_268,1.0
174121,NCI_H322M,1.0
249992,SF_539,1.0
143020,SF_539,1.0
639174,RXF_393,1.0
123127,NCI_H226,1.0
27640,EKVX,0.0
329680,TK_10,0.0
100880,UO_31,1.0
759263,HOP_92,1.0
256927,SNB_75,0.0
249910,UO_31,1.0
681632,K_562,1.0
683558,OVCAR_3,0.0
320846,SR,1.0
603076,U251,1.0
353451,SW_620,1.0
63878,SNB_75,0.0
176323,SNB_19,1.0
256439,COLO205,0.0
100880,NCI_H322M,0.0
357704,MDA_MB_231,0.0
276382,T47D,0.0
618939,MDA_MB_231,0.0
241240,HL_60,1.0
697887,MALME_3M,1.0
26271,OVCAR_8,0.0
95441,IGROV1,1.0
740521,NCI_H23,1.0
603071,UACC_62,1.0
736198,BT_549,0.0
145668,HCC_2998,1.0
783107,IGROV1,1.0
656889,IGROV1,1.0
618939,TK_10,0.0
736201,SK_MEL_5,1.0
296934,MDA_MB_435,0.0
758255,MOLT_4,1.0
709237,HT29,0.0
105014,K_562,1.0
256439,SK_MEL_28,0.0
638066,HCC_2998,0.0
365798,SK_MEL_28,0.0
1895,KM12,0.0
736198,NCI_H226,0.0
105132,HT29,0.0
783107,HS578T,0.0
708298,SF_268,1.0
698037,BT_549,0.0
618939,SN12C,1.0
682298,LOXIMVI,1.0
740521,UO_31,1.0
719276,A549,0.0
107392,U251,1.0
369395,OVCAR_4,0.0
789797,M14,0.0
759263,CCRF_CEM,1.0
303812,HS578T,0.0
301739,HOP_92,1.0
637651,U251,1.0
364830,CCRF_CEM,1.0
374551,OVCAR_4,0.0
295500,ACHN,1.0
725776,SR,1.0
754771,EKVX,1.0
26980,MDA_MB_435,0.0
19893,HS578T,0.0
366140,MALME_3M,0.0
25154,OVCAR_4,0.0
344007,786_0,1.0
756717,K_562,1.0
8806,DU_145,0.0
606170,EKVX,0.0
724998,MCF7,1.0
755985,PC_3,0.0
138783,A549,0.0
609699,SR,1.0
627505,SF_295,1.0
757098,IGROV1,1.0
107124,HCT_116,1.0
767125,NCI_H322M,0.0
256942,SF_268,0.0
264137,SNB_75,1.0
673596,U251,1.0
24559,SNB_75,1.0
702294,CCRF_CEM,1.0
295500,MALME_3M,0.0
736493,SW_620,1.0
633782,IGROV1,1.0
73754,HOP_92,1.0
1895,OVCAR_8,1.0
301739,NCI_ADR_RES,0.0
34462,LOXIMVI,1.0
757036,T47D,1.0
740268,RXF_393,0.0
83142,SK_MEL_28,0.0
681646,EKVX,0.0
728073,HCT_15,0.0
138783,M14,1.0
19893,MCF7,1.0
71261,SK_MEL_28,0.0
14229,BT_549,0.0
264137,U251,1.0
71795,OVCAR_3,0.0
32065,786_0,1.0
681637,MDA_MB_231,0.0
757804,BT_549,0.0
107124,TK_10,0.0
102627,SF_295,1.0
754365,HCC_2998,0.0
308847,CAKI_1,1.0
606499,786_0,1.0
95382,OVCAR_8,0.0
123127,786_0,1.0
71851,HL_60,0.0
736202,U251,1.0
697912,ACHN,1.0
364830,BT_549,0.0
765396,SK_MEL_28,0.0
768112,MDA_N,0.0
3053,UO_31,0.0
143020,OVCAR_5,0.0
369395,NCI_H23,1.0
320846,NCI_H226,0.0
354258,NCI_H23,0.0
264137,NCI_H226,1.0
134679,SW_620,1.0
95466,MDA_N,1.0
153353,SK_MEL_5,1.0
606869,SK_MEL_2,0.0
125066,SF_268,1.0
757036,NCI_H226,0.0
77213,MCF7,0.0
643833,SR,1.0
148958,SR,1.0
314622,A498,0.0
681633,HCT_116,1.0
681634,OVCAR_5,0.0
365798,HS578T,0.0
224131,NCI_ADR_RES,0.0
51143,UACC_62,1.0
182986,SK_MEL_2,0.0
111533,SN12C,1.0
224131,K_562,1.0
26980,TK_10,0.0
683556,SK_MEL_28,0.0
736624,EKVX,0.0
82151,T47D,1.0
757087,OVCAR_4,0.0
758612,ACHN,1.0
752,HCC_2998,1.0
606869,UACC_62,1.0
754771,HOP_92,1.0
709237,MDA_MB_435,0.0
256439,HCC_2998,0.0
107392,NCI_H322M,0.0
681639,MOLT_4,1.0
51143,KM12,0.0
172112,TK_10,0.0
610459,MDA_MB_435,0.0
768593,OVCAR_5,0.0
363812,SNB_75,0.0
698037,SW_620,0.0
279836,SK_MEL_2,0.0
783107,SNB_75,1.0
736624,DU_145,1.0
755841,OVCAR_3,1.0
736202,SF_268,1.0
683556,DU_145,1.0
27640,HS578T,0.0
312887,COLO205,0.0
681642,OVCAR_5,0.0
279836,PC_3,0.0
634724,KM12,0.0
94600,UACC_62,1.0
369100,OVCAR_8,0.0
698037,OVCAR_3,0.0
25154,CCRF_CEM,1.0
610456,HL_60,1.0
618939,U251,1.0
633782,OVCAR_4,0.0
343499,SN12C,1.0
3088,M14,0.0
681639,OVCAR_4,0.0
603071,NCI_H522,1.0
708298,NCI_ADR_RES,0.0
409962,NCI_H23,0.0
111533,MDA_N,0.0
71851,SW_620,0.0
141549,786_0,1.0
132313,786_0,1.0
351710,CAKI_1,0.0
134679,SNB_19,0.0
241240,CCRF_CEM,1.0
706744,IGROV1,1.0
762,OVCAR_3,0.0
95466,786_0,1.0
736201,SK_MEL_28,0.0
754230,SF_539,1.0
143095,DU_145,1.0
606498,MDA_MB_435,0.0
634724,SK_MEL_28,0.0
606869,ACHN,1.0
19893,MDA_MB_435,1.0
758255,EKVX,0.0
606172,MDA_N,0.0
89201,EKVX,0.0
526598,KM12,1.0
295499,ACHN,1.0
338947,A498,0.0
287459,OVCAR_8,1.0
756717,UACC_62,1.0
681637,CCRF_CEM,1.0
71851,MCF7,1.0
757087,RXF_393,1.0
124463,SK_OV_3,1.0
758612,NCI_H322M,0.0
105014,NCI_H322M,0.0
224131,MDA_MB_231,0.0
184692,SF_268,1.0
276382,OVCAR_3,0.0
683557,M14,1.0
256942,M14,0.0
303812,NCI_H522,0.0
295501,IGROV1,0.0
109724,NCI_ADR_RES,1.0
736198,SK_MEL_28,0.0
135758,MDA_MB_231,0.0
768593,K_562,0.0
374551,MALME_3M,0.0
348948,SK_OV_3,0.0
681638,MDA_MB_435,0.0
719276,A498,0.0
772992,M14,0.0
681642,HT29,0.0
610456,BT_549,0.0
365798,IGROV1,1.0
63878,MALME_3M,0.0
343499,MCF7,0.0
143095,MALME_3M,0.0
246131,CCRF_CEM,1.0
767125,SK_MEL_2,0.0
694501,K_562,1.0
118994,MDA_N,1.0
132483,MDA_MB_231,0.0
369100,SW_620,1.0
123127,HCC_2998,0.0
736202,SNB_19,1.0
526598,K_562,1.0
349174,SNB_75,1.0
25154,OVCAR_8,0.0
105014,HOP_92,1.0
683555,U251,0.0
134679,NCI_H322M,0.0
134033,OVCAR_3,0.0
71261,SNB_19,0.0
754365,EKVX,0.0
126771,CCRF_CEM,1.0
102627,HL_60,1.0
364830,T47D,1.0
132483,HL_60,0.0
241240,TK_10,0.0
606499,NCI_H322M,0.0
758230,OVCAR_3,0.0
1390,NCI_H322M,1.0
619232,COLO205,0.0
100880,SK_OV_3,1.0
694501,SF_268,1.0
681645,786_0,1.0
100880,SN12C,1.0
24559,IGROV1,1.0
353451,HOP_62,1.0
694501,A498,0.0
606498,NCI_H226,1.0
369100,NCI_H322M,0.0
725776,ACHN,1.0
369395,BT_549,1.0
758667,NCI_H522,1.0
758423,KM12,0.0
681644,A498,0.0
369395,CAKI_1,1.0
163501,OVCAR_5,0.0
697912,OVCAR_3,0.0
156303,DU_145,1.0
123127,SN12C,1.0
134679,SF_295,1.0
702294,HOP_92,0.0
736198,SF_268,1.0
353451,OVCAR_5,0.0
606497,SK_MEL_2,0.0
758251,SN12C,1.0
639174,UACC_62,1.0
71261,SR,1.0
38721,MDA_MB_435,0.0
352299,RPMI_8226,0.0
756717,KM12,0.0
629971,SF_295,1.0
656889,UACC_257,0.0
357704,TK_10,0.0
758667,A498,1.0
34462,T47D,1.0
3088,NCI_H23,1.0
698037,NCI_H522,0.0
759263,TK_10,0.0
132483,HCC_2998,1.0
627505,CAKI_1,0.0
374028,HS578T,0.0
3053,SR,1.0
681637,SNB_75,1.0
603077,OVCAR_3,0.0
107392,SF_268,1.0
737518,NCI_H226,0.0
8806,786_0,1.0
734294,HS578T,0.0
268242,SF_295,1.0
757098,HCT_116,0.0
789797,UO_31,1.0
681643,TK_10,0.0
269148,DU_145,1.0
759878,COLO205,0.0
765396,HS578T,0.0
760764,MDA_MB_435,0.0
618939,SF_295,1.0
169780,HT29,0.0
609699,SF_295,1.0
683558,ACHN,1.0
719627,MALME_3M,0.0
107392,NCI_ADR_RES,1.0
139105,DU_145,1.0
759857,HOP_62,1.0
747856,SR,1.0
135758,COLO205,0.0
